,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
42,1572257100,9385.03,9394.82,9385.0,9392.33,20.76,194953.26,force_direct,
43,1572257160,9388.86,9392.72,9381.55,9385.03,15.86,148883.61,force_direct,
44,1572257220,9390.99,9391.58,9383.86,9388.86,13.49,126645.26,force_direct,
45,1572257280,9396.15,9402.74,9389.96,9390.99,20.83,195701.45,force_direct,
46,1572257340,9402.98,9403.6,9394.88,9396.15,15.24,143285.81,force_direct,
47,1572257400,9400.16,9405.14,9398.48,9402.98,20.79,195471.47,force_direct,
48,1572257460,9387.96,9401.97,9387.7,9400.16,21.64,203338.79,force_direct,
49,1572257520,9394.75,9395.2,9387.44,9387.96,16.74,157219.91,force_direct,
50,1572257580,9395.4,9402.0,9393.53,9394.75,24.34,228739.87,force_direct,
51,1572257640,9402.0,9402.0,9394.88,9395.4,18.33,172314.66,force_direct,
52,1572257700,9401.92,9402.4,9390.3,9402.0,39.3,369356.34,force_direct,
53,1572257760,9391.99,9404.77,9391.31,9401.92,18.65,175276.07,force_direct,
54,1572257820,9384.98,9392.27,9381.11,9391.99,39.42,369954.65,force_direct,
55,1572257880,9388.95,9390.0,9381.27,9384.98,24.17,226809.78,force_direct,
56,1572257940,9378.39,9390.0,9376.73,9388.95,23.71,222523.04,force_direct,
57,1572258000,9371.39,9384.14,9366.47,9378.39,58.47,548182.75,force_direct,
58,1572258060,9361.19,9374.64,9361.0,9371.39,48.84,457531.96,force_direct,
59,1572258120,9355.56,9363.08,9350.27,9361.19,46.88,438689.64,force_direct,
60,1572258180,9349.0,9356.44,9344.93,9355.56,55.59,519759.89,force_direct,
61,1572258240,9361.8,9361.97,9344.93,9349.0,66.5,622029.46,force_direct,
62,1572258300,9363.45,9364.84,9360.0,9361.8,10.08,94394.99,force_direct,
63,1572258360,9353.64,9364.19,9351.01,9363.45,19.29,180505.99,force_direct,
64,1572258420,9361.79,9364.9,9351.0,9353.64,22.24,208120.7,force_direct,
65,1572258480,9354.19,9364.11,9353.04,9361.79,23.13,216433.25,force_direct,
66,1572258540,9352.27,9355.57,9350.0,9354.19,12.98,121385.71,force_direct,
67,1572258600,9370.0,9370.86,9352.24,9352.27,33.46,313318.18,force_direct,
68,1572258660,9375.98,9378.9,9369.23,9370.0,16.83,157720.48,force_direct,
69,1572258720,9368.8,9377.32,9366.07,9375.98,16.56,155242.22,force_direct,
70,1572258780,9374.04,9378.56,9366.39,9368.8,27.35,256451.27,force_direct,
71,1572258840,9378.9,9378.9,9372.37,9374.04,12.51,117259.41,force_direct,
72,1572258900,9373.86,9385.7,9373.24,9378.9,33.98,318723.81,force_direct,
73,1572258960,9371.64,9374.54,9367.43,9373.86,21.4,200511.7,force_direct,
74,1572259020,9370.62,9375.25,9366.06,9371.64,9.403,88104.56,force_direct,
75,1572259080,9365.24,9375.36,9365.11,9370.62,17.86,167353.86,force_direct,
76,1572259140,9373.22,9375.62,9365.21,9365.24,19.66,184233.49,force_direct,
77,1572259200,9383.77,9387.43,9370.43,9373.22,24.81,232692.16,force_direct,
