,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
0,1572348600,9419.76,9421.26,9416.08,9417.91,28.83,271488.61,force_direct,
1,1572348660,9418.71,9419.85,9416.05,9419.76,9.738,91709.49,force_direct,
2,1572348720,9420.98,9424.25,9417.89,9418.71,15.34,144492.21,force_direct,
3,1572348780,9417.46,9421.75,9417.32,9420.98,10.23,96371.75,force_direct,
4,1572348840,9404.99,9420.0,9404.63,9417.46,58.87,553980.81,force_direct,
5,1572348900,9408.2,9409.77,9400.0,9404.99,35.82,336789.99,force_direct,
6,1572348960,9384.9,9408.3,9380.62,9408.2,116.61,1095091.69,force_direct,
7,1572349020,9396.55,9396.94,9384.9,9384.9,35.65,334744.14,force_direct,
8,1572349080,9396.62,9399.88,9395.05,9396.55,10.59,99529.09,force_direct,
9,1572349140,9404.92,9406.31,9396.04,9396.62,15.11,142067.99,force_direct,
10,1572349200,9398.0,9404.92,9395.84,9404.92,42.73,401701.56,force_direct,
11,1572349260,9401.09,9401.09,9396.44,9398.0,14.58,137064.09,force_direct,
12,1572349320,9404.91,9406.0,9401.09,9401.09,35.29,331902.1,force_direct,
13,1572349380,9402.07,9414.76,9399.45,9404.91,43.33,407597.88,force_direct,
14,1572349440,9407.25,9410.0,9400.65,9402.07,18.16,170875.46,force_direct,
15,1572349500,9405.45,9410.2,9401.74,9407.25,15.57,146462.43,force_direct,
16,1572349560,9410.05,9411.22,9403.66,9405.45,6.662,62670.03,force_direct,
17,1572349620,9414.54,9414.67,9403.87,9410.05,30.34,285449.15,force_direct,
18,1572349680,9410.78,9419.84,9409.94,9414.54,36.67,345230.75,force_direct,
19,1572349740,9412.22,9413.97,9410.08,9410.78,8.356,78646.75,force_direct,
20,1572349800,9415.25,9416.74,9411.21,9412.22,15.3,144005.48,force_direct,
21,1572349860,9418.37,9418.7,9412.1,9415.25,11.32,106559.74,force_direct,
22,1572349920,9424.28,9425.0,9417.88,9418.37,11.37,107114.23,force_direct,
23,1572349980,9441.52,9447.94,9424.28,9424.28,87.07,821988.47,force_direct,
24,1572350040,9451.98,9456.37,9437.21,9441.52,72.77,687707.02,force_direct,
25,1572350100,9442.92,9452.08,9438.29,9451.98,26.06,246040.55,force_direct,
26,1572350160,9438.6,9442.92,9433.42,9442.92,29.14,275075.95,force_direct,
27,1572350220,9444.14,9445.71,9433.98,9438.6,22.06,208301.97,force_direct,
28,1572350280,9447.01,9447.01,9433.16,9444.14,20.34,192039.24,force_direct,
29,1572350340,9432.27,9447.01,9421.89,9447.01,45.69,431051.28,force_direct,
30,1572350400,9431.04,9434.93,9421.83,9432.27,28.49,268669.06,force_direct,
31,1572350460,9423.37,9435.35,9414.99,9431.04,46.88,441819.09,force_direct,
32,1572350520,9423.71,9435.93,9419.92,9423.37,32.59,307229.62,force_direct,
33,1572350580,9433.54,9436.0,9423.71,9423.71,34.61,326481.87,force_direct,
34,1572350640,9433.66,9441.73,9430.81,9433.54,24.52,231367.57,force_direct,
35,1572350700,9444.0,9448.72,9430.0,9433.66,38.28,361386.82,force_direct,
36,1572350760,9457.88,9458.12,9440.98,9444.0,66.33,626874.91,force_direct,
37,1572350820,9455.04,9469.27,9453.01,9457.88,49.78,471103.94,force_direct,
38,1572350880,9450.17,9457.02,9442.92,9455.04,67.05,633710.34,force_direct,
39,1572350940,9462.56,9462.56,9444.99,9450.17,55.3,522589.94,force_direct,
40,1572351000,9451.4,9463.99,9447.8,9462.56,39.8,376366.63,force_direct,
41,1572351060,9437.73,9453.99,9435.06,9451.4,35.04,330932.61,force_direct,
42,1572351120,9435.37,9443.43,9431.34,9437.73,18.24,172200.88,force_direct,
43,1572351180,9434.11,9436.6,9425.0,9435.37,20.09,189501.34,force_direct,
44,1572351240,9425.13,9437.83,9425.0,9434.11,21.55,203228.52,force_direct,
45,1572351300,9403.84,9428.19,9392.48,9425.13,248.23,2335940.58,force_direct,
46,1572351360,9391.1,9413.89,9390.0,9403.84,72.21,678663.18,force_direct,
47,1572351420,9403.61,9411.6,9390.0,9391.1,63.83,600166.29,force_direct,
48,1572351480,9410.38,9416.55,9400.38,9403.61,30.23,284434.33,force_direct,
49,1572351540,9393.76,9411.94,9390.98,9410.38,76.41,718357.86,force_direct,
