,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
0,1572681960,9216.98,9216.98,9213.04,9215.85,7.146,65850.78,force_direct,
1,1572682020,9214.0,9216.98,9213.05,9216.98,5.788,53331.09,force_direct,
2,1572682080,9216.86,9218.78,9213.45,9214.0,4.976,45857.7,force_direct,
3,1572682140,9217.19,9219.0,9216.06,9216.86,4.409,40635.09,force_direct,
4,1572682200,9217.43,9218.96,9217.19,9217.19,11.38,104901.67,force_direct,
5,1572682260,9225.87,9225.87,9217.43,9217.43,10.86,100180.13,force_direct,
6,1572682320,9232.03,9234.98,9224.86,9225.87,48.42,446949.5,force_direct,
7,1572682380,9228.75,9233.53,9225.01,9232.03,26.02,240179.89,force_direct,
8,1572682440,9229.36,9233.92,9226.18,9228.75,20.16,186087.32,force_direct,
9,1572682500,9225.74,9232.86,9225.64,9229.36,23.55,217316.99,force_direct,
10,1572682560,9226.92,9230.3,9225.13,9225.74,5.891,54362.11,force_direct,
11,1572682620,9231.86,9240.59,9226.92,9226.92,37.22,343731.75,force_direct,
12,1572682680,9232.71,9234.95,9229.37,9231.86,17.81,164425.28,force_direct,
13,1572682740,9234.7,9238.46,9229.85,9232.71,19.07,176118.19,force_direct,
14,1572682800,9233.42,9239.8,9231.4,9234.7,31.89,294526.0,force_direct,
15,1572682860,9226.25,9235.29,9225.08,9233.42,20.39,188224.25,force_direct,
16,1572682920,9225.39,9229.51,9225.0,9226.25,16.67,153816.73,force_direct,
17,1572682980,9218.99,9227.18,9217.49,9225.39,45.65,420870.81,force_direct,
18,1572683040,9220.25,9220.28,9216.34,9218.99,9.842,90724.37,force_direct,
19,1572683100,9225.0,9226.84,9219.14,9220.25,9.451,87165.22,force_direct,
20,1572683160,9221.01,9225.45,9219.92,9225.0,94.38,870283.03,force_direct,
21,1572683220,9212.03,9224.57,9212.0,9221.01,83.09,766087.53,force_direct,
22,1572683280,9205.75,9212.12,9200.14,9212.03,61.23,563720.05,force_direct,
23,1572683340,9202.07,9208.09,9197.0,9205.75,42.43,390375.98,force_direct,
24,1572683400,9212.5,9216.0,9201.06,9202.07,30.85,284100.46,force_direct,
25,1572683460,9199.75,9213.79,9194.19,9212.5,38.39,353163.34,force_direct,
26,1572683520,9202.4,9207.03,9196.07,9199.75,35.14,323344.49,force_direct,
27,1572683580,9207.2,9209.99,9200.52,9202.4,13.33,122700.28,force_direct,
28,1572683640,9203.9,9208.07,9201.0,9207.2,14.66,134984.29,force_direct,
29,1572683700,9196.0,9203.9,9195.12,9203.9,20.96,192786.31,force_direct,
30,1572683760,9203.35,9204.31,9195.0,9196.0,14.16,130273.3,force_direct,
31,1572683820,9196.01,9203.35,9196.0,9203.35,23.23,213636.32,force_direct,
32,1572683880,9207.64,9207.83,9196.0,9196.01,25.0,230034.87,force_direct,
33,1572683940,9202.02,9208.86,9200.02,9207.64,13.49,124205.87,force_direct,
34,1572684000,9210.09,9212.03,9199.33,9202.02,15.63,143888.31,force_direct,
35,1572684060,9212.79,9229.52,9206.27,9210.09,44.8,412943.07,force_direct,
36,1572684120,9208.99,9213.22,9207.12,9212.79,15.41,141976.86,force_direct,
37,1572684180,9204.04,9212.88,9202.73,9208.99,28.93,266337.17,force_direct,
38,1572684240,9208.55,9209.13,9203.98,9204.04,15.66,144187.82,force_direct,
39,1572684300,9217.6,9220.0,9207.14,9208.55,18.97,174739.26,force_direct,
40,1572684360,9215.44,9219.58,9213.85,9217.6,19.43,179036.48,force_direct,
41,1572684420,9213.93,9217.46,9213.85,9215.44,11.18,103055.73,force_direct,
42,1572684480,9211.9,9215.06,9210.43,9213.93,8.917,82150.44,force_direct,
43,1572684540,9207.03,9214.7,9206.43,9211.9,13.73,126476.36,force_direct,
44,1572684600,9204.13,9208.32,9203.12,9207.03,13.9,127916.57,force_direct,
45,1572684660,9207.98,9211.32,9200.0,9204.13,21.19,195003.11,force_direct,
46,1572684720,9207.65,9210.23,9204.4,9207.98,11.06,101861.92,force_direct,
47,1572684780,9208.14,9210.64,9206.63,9207.65,8.684,79967.23,force_direct,
48,1572684840,9209.98,9209.98,9206.53,9208.14,11.36,104634.4,force_direct,
49,1572684900,9209.95,9210.0,9205.55,9209.98,10.79,99320.47,force_direct,
50,1572684960,9208.2,9210.0,9206.82,9209.95,15.32,141122.22,force_direct,
51,1572685020,9207.9,9208.86,9205.21,9208.2,12.26,112859.09,force_direct,
52,1572685080,9205.35,9207.9,9203.14,9207.9,11.14,102581.61,force_direct,
53,1572685140,9202.01,9207.0,9199.77,9205.35,12.54,115417.29,force_direct,
